id,cover_letter,proposed_payrate,project_length,category
1,Sed ante. Vivamus tortor. Duis mattis egestas metus.,65831,102,Translation
2,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,804,111,Legal
3,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,3091,114,Data Science and Analytics
4,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",6925,53,IT and Networking
5,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,59080,83,Legal
6,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,38349,45,Admin Support
7,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,24694,69,Legal
8,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",9792,76,Translation
9,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,42617,43,Writing
10,In congue. Etiam justo. Etiam pretium iaculis justo.,33416,48,Design and Creative
11,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",90233,122,Admin Support
12,Phasellus in felis. Donec semper sapien a libero. Nam dui.,41032,171,Engineering and Architecture
13,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",47870,40,Legal
14,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",69231,9,IT and Networking
15,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,57750,113,Data Science and Analytics
16,Phasellus in felis. Donec semper sapien a libero. Nam dui.,32635,118,Data Science and Analytics
17,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,52464,56,Legal
18,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",92703,15,Web Mobile and Software Dev
19,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,32333,170,Engineering and Architecture
20,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,9525,99,Accounting and Consulting
21,In congue. Etiam justo. Etiam pretium iaculis justo.,11171,73,Data Science and Analytics
22,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",86371,130,Translation
23,In congue. Etiam justo. Etiam pretium iaculis justo.,55508,149,Data Science and Analytics
